table,informant,module,variable,layer,status,disorder,label,value_labels,admin_codes,derivative
mh_p_ksads__cond,parent,cond,mh_p_ksads__cond_013___3,other,,,Mark all the grades your child did these things [Multi-select]: Stayed out past curfew - 4th,"{""0"": ""FALSE"", ""1"": ""TRUE""}",,False
mh_p_ksads__cond,parent,cond,mh_p_ksads__cond_013___4,other,,,Mark all the grades your child did these things [Multi-select]: Stayed out past curfew - 5th,"{""0"": ""FALSE"", ""1"": ""TRUE""}",,False
mh_p_ksads__cond,parent,cond,mh_p_ksads__cond_013___5,other,,,Mark all the grades your child did these things [Multi-select]: Stayed out past curfew - 6th,"{""0"": ""FALSE"", ""1"": ""TRUE""}",,False
mh_p_ksads__cond,parent,cond,mh_p_ksads__cond_013___6,other,,,Mark all the grades your child did these things [Multi-select]: Stayed out past curfew - 7th,"{""0"": ""FALSE"", ""1"": ""TRUE""}",,False
mh_p_ksads__cond,parent,cond,mh_p_ksads__cond_013___7,other,,,Mark all the grades your child did these things [Multi-select]: Stayed out past curfew - 8th,"{""0"": ""FALSE"", ""1"": ""TRUE""}",,False
mh_p_ksads__cond,parent,cond,mh_p_ksads__cond_013___8,other,,,Mark all the grades your child did these things [Multi-select]: Stayed out past curfew - 9th,"{""0"": ""FALSE"", ""1"": ""TRUE""}",,False
mh_p_ksads__cond,parent,cond,mh_p_ksads__cond_013___9,other,,,Mark all the grades your child did these things [Multi-select]: Stayed out past curfew - 10th,"{""0"": ""FALSE"", ""1"": ""TRUE""}",,False
mh_p_ksads__cond,parent,cond,mh_p_ksads__cond_013___10,other,,,Mark all the grades your child did these things [Multi-select]: Stayed out past curfew - 11th,"{""0"": ""FALSE"", ""1"": ""TRUE""}",,False
mh_p_ksads__cond,parent,cond,mh_p_ksads__cond_013___11,other,,,Mark all the grades your child did these things [Multi-select]: Stayed out past curfew - 12th,"{""0"": ""FALSE"", ""1"": ""TRUE""}",,False
mh_p_ksads__cond,parent,cond,mh_p_ksads__cond_013___12,other,,,Mark all the grades your child did these things [Multi-select]: Stayed out past curfew - 12th or above [Multi-select],"{""0"": ""FALSE"", ""1"": ""TRUE""}",,False
mh_p_ksads__cond,parent,cond,mh_p_ksads__cond_014___1,other,,,Mark all the grades your child did these things [Multi-select]: Stayed out all night or ran away - 3rd or below,"{""0"": ""FALSE"", ""1"": ""TRUE""}",,False
mh_p_ksads__cond,parent,cond,mh_p_ksads__cond_014___2,other,,,Mark all the grades your child did these things [Multi-select]: Stayed out all night or ran away - 3rd,"{""0"": ""FALSE"", ""1"": ""TRUE""}",,False
mh_p_ksads__cond,parent,cond,mh_p_ksads__cond_014___3,other,,,Mark all the grades your child did these things [Multi-select]: Stayed out all night or ran away - 4th,"{""0"": ""FALSE"", ""1"": ""TRUE""}",,False
mh_p_ksads__cond,parent,cond,mh_p_ksads__cond_014___4,other,,,Mark all the grades your child did these things [Multi-select]: Stayed out all night or ran away - 5th,"{""0"": ""FALSE"", ""1"": ""TRUE""}",,False
mh_p_ksads__cond,parent,cond,mh_p_ksads__cond_014___5,other,,,Mark all the grades your child did these things [Multi-select]: Stayed out all night or ran away - 6th,"{""0"": ""FALSE"", ""1"": ""TRUE""}",,False
mh_p_ksads__cond,parent,cond,mh_p_ksads__cond_014___6,other,,,Mark all the grades your child did these things [Multi-select]: Stayed out all night or ran away - 7th,"{""0"": ""FALSE"", ""1"": ""TRUE""}",,False
mh_p_ksads__cond,parent,cond,mh_p_ksads__cond_014___7,other,,,Mark all the grades your child did these things [Multi-select]: Stayed out all night or ran away - 8th,"{""0"": ""FALSE"", ""1"": ""TRUE""}",,False
mh_p_ksads__cond,parent,cond,mh_p_ksads__cond_014___8,other,,,Mark all the grades your child did these things [Multi-select]: Stayed out all night or ran away - 9th,"{""0"": ""FALSE"", ""1"": ""TRUE""}",,False
mh_p_ksads__cond,parent,cond,mh_p_ksads__cond_014___9,other,,,Mark all the grades your child did these things [Multi-select]: Stayed out all night or ran away - 10th,"{""0"": ""FALSE"", ""1"": ""TRUE""}",,False
mh_p_ksads__cond,parent,cond,mh_p_ksads__cond_014___10,other,,,Mark all the grades your child did these things [Multi-select]: Stayed out all night or ran away - 11th,"{""0"": ""FALSE"", ""1"": ""TRUE""}",,False
mh_p_ksads__cond,parent,cond,mh_p_ksads__cond_014___11,other,,,Mark all the grades your child did these things [Multi-select]: Stayed out all night or ran away - 12th,"{""0"": ""FALSE"", ""1"": ""TRUE""}",,False
mh_p_ksads__cond,parent,cond,mh_p_ksads__cond_014___12,other,,,Mark all the grades your child did these things [Multi-select]: Stayed out all night or ran away - 12th or above [Multi-select],"{""0"": ""FALSE"", ""1"": ""TRUE""}",,False
mh_p_ksads__cond,parent,cond,mh_p_ksads__cond_015___1,other,,,Mark all the grades your child did these things [Multi-select]: Skipped school - 3rd or below,"{""0"": ""FALSE"", ""1"": ""TRUE""}",,False
mh_p_ksads__cond,parent,cond,mh_p_ksads__cond_015___2,other,,,Mark all the grades your child did these things [Multi-select]: Skipped school - 3rd,"{""0"": ""FALSE"", ""1"": ""TRUE""}",,False
mh_p_ksads__cond,parent,cond,mh_p_ksads__cond_015___3,other,,,Mark all the grades your child did these things [Multi-select]: Skipped school - 4th,"{""0"": ""FALSE"", ""1"": ""TRUE""}",,False
mh_p_ksads__cond,parent,cond,mh_p_ksads__cond_015___4,other,,,Mark all the grades your child did these things [Multi-select]: Skipped school - 5th,"{""0"": ""FALSE"", ""1"": ""TRUE""}",,False
mh_p_ksads__cond,parent,cond,mh_p_ksads__cond_015___5,other,,,Mark all the grades your child did these things [Multi-select]: Skipped school - 6th,"{""0"": ""FALSE"", ""1"": ""TRUE""}",,False
mh_p_ksads__cond,parent,cond,mh_p_ksads__cond_015___6,other,,,Mark all the grades your child did these things [Multi-select]: Skipped school - 7th,"{""0"": ""FALSE"", ""1"": ""TRUE""}",,False
mh_p_ksads__cond,parent,cond,mh_p_ksads__cond_015___7,other,,,Mark all the grades your child did these things [Multi-select]: Skipped school - 8th,"{""0"": ""FALSE"", ""1"": ""TRUE""}",,False
mh_p_ksads__cond,parent,cond,mh_p_ksads__cond_015___8,other,,,Mark all the grades your child did these things [Multi-select]: Skipped school - 9th,"{""0"": ""FALSE"", ""1"": ""TRUE""}",,False
mh_p_ksads__cond,parent,cond,mh_p_ksads__cond_015___9,other,,,Mark all the grades your child did these things [Multi-select]: Skipped school - 10th,"{""0"": ""FALSE"", ""1"": ""TRUE""}",,False
mh_p_ksads__cond,parent,cond,mh_p_ksads__cond_015___10,other,,,Mark all the grades your child did these things [Multi-select]: Skipped school - 11th,"{""0"": ""FALSE"", ""1"": ""TRUE""}",,False
mh_p_ksads__cond,parent,cond,mh_p_ksads__cond_015___11,other,,,Mark all the grades your child did these things [Multi-select]: Skipped school - 12th,"{""0"": ""FALSE"", ""1"": ""TRUE""}",,False
mh_p_ksads__cond,parent,cond,mh_p_ksads__cond_015___12,other,,,Mark all the grades your child did these things [Multi-select]: Skipped school - 12th or above [Multi-select],"{""0"": ""FALSE"", ""1"": ""TRUE""}",,False
mh_p_ksads__cond,parent,cond,mh_p_ksads__cond_016,other,,,Is concerned about the feelings of others.,"{""0"": ""Not at all true"", ""1"": ""Somewhat true"", ""2"": ""Very true"", ""3"": ""Definitely true""}",,False
mh_p_ksads__cond,parent,cond,mh_p_ksads__cond_017,other,,,Does not care about doing things well.,"{""0"": ""Not at all true"", ""1"": ""Somewhat true"", ""2"": ""Very true"", ""3"": ""Definitely true""}",,False
mh_p_ksads__cond,parent,cond,mh_p_ksads__cond_018,other,,,Does not show emotions.,"{""0"": ""Not at all true"", ""1"": ""Somewhat true"", ""2"": ""Very true"", ""3"": ""Definitely true""}",,False
mh_p_ksads__cond,parent,cond,mh_p_ksads__cond_019,other,,,Seems very cold and uncaring.,"{""0"": ""Not at all true"", ""1"": ""Somewhat true"", ""2"": ""Very true"", ""3"": ""Definitely true""}",,False
mh_p_ksads__cond,parent,cond,mh_p_ksads__cond_020,other,,,Feels bad or guilty when he/she has done something wrong.,"{""0"": ""Not at all true"", ""1"": ""Somewhat true"", ""2"": ""Very true"", ""3"": ""Definitely true""}",,False
mh_p_ksads__cond,parent,cond,mh_p_ksads__cond_021,other,,,Does not care who he/she hurts to get what he/she wants.,"{""0"": ""Not at all true"", ""1"": ""Somewhat true"", ""2"": ""Very true"", ""3"": ""Definitely true""}",,False
mh_p_ksads__cond,parent,cond,mh_p_ksads__cond_022,other,,,The feelings of others are unimportant to him/her.,"{""0"": ""Not at all true"", ""1"": ""Somewhat true"", ""2"": ""Very true"", ""3"": ""Definitely true""}",,False
mh_p_ksads__cond,parent,cond,mh_p_ksads__cond_023,other,,,Shows no remorse when he/she has done something wrong.,"{""0"": ""Not at all true"", ""1"": ""Somewhat true"", ""2"": ""Very true"", ""3"": ""Definitely true""}",,False
mh_p_ksads__cond,parent,cond,mh_p_ksads__cond_024,other,,,Tries not to hurt others' feelings.,"{""0"": ""Not at all true"", ""1"": ""Somewhat true"", ""2"": ""Very true"", ""3"": ""Definitely true""}",,False
mh_p_ksads__cond,parent,cond,mh_p_ksads__cond_025,other,,,Does not care if he/she is in trouble.,"{""0"": ""Not at all true"", ""1"": ""Somewhat true"", ""2"": ""Very true"", ""3"": ""Definitely true""}",,False
mh_p_ksads__cond,parent,cond,mh_p_ksads__cond_026,other,,,Apologizes (“says he/she is sorry”) to persons he/she has hurt.,"{""0"": ""Not at all true"", ""1"": ""Somewhat true"", ""2"": ""Very true"", ""3"": ""Definitely true""}",,False
mh_p_ksads__cond,parent,cond,mh_p_ksads__cond_027,other,,,Does things to make others feel good.,"{""0"": ""Not at all true"", ""1"": ""Somewhat true"", ""2"": ""Very true"", ""3"": ""Definitely true""}",,False
mh_p_ksads__cond,parent,cond,mh_p_ksads__cond_028,other,,,It is easy for others to tell how my child is feeling.,"{""0"": ""Not at all true"", ""1"": ""Somewhat true"", ""2"": ""Very true"", ""3"": ""Definitely true""}",,False
mh_p_ksads__cond,parent,cond,mh_p_ksads__cond_029,other,,,My child is very expressive and emotional.,"{""0"": ""Not at all true"", ""1"": ""Somewhat true"", ""2"": ""Very true"", ""3"": ""Definitely true""}",,False
mh_p_ksads__cond,parent,cond,mh_p_ksads__cond_030,other,,,Conduct symptoms: Did these symptoms start shortly after a significant life event or stressor?,"{""0"": ""No"", ""1"": ""Yes""}",,False
mh_p_ksads__cond,parent,cond,mh_p_ksads__cond__breakin__past_sx,item,,,Symptom: Breaking and entering - Past [Parent],"{""0"": ""Absent"", ""1"": ""Present"", ""555"": ""Not administered"", ""888"": ""Not asked due to branching logic""}","555,888",True
mh_p_ksads__cond,parent,cond,mh_p_ksads__cond__breakin__pres_sx,item,,,Symptom: Breaking and entering - Present [Parent],"{""0"": ""Absent"", ""1"": ""Present"", ""555"": ""Not administered"", ""888"": ""Not asked due to branching logic""}","555,888",True
mh_p_ksads__cond,parent,cond,mh_p_ksads__cond__bully__past_sx,item,,,Symptom: Often bullies others - Past [Parent],"{""0"": ""Absent"", ""1"": ""Present"", ""555"": ""Not administered"", ""888"": ""Not asked due to branching logic""}","555,888",True
mh_p_ksads__cond,parent,cond,mh_p_ksads__cond__bully__pres_sx,item,,,Symptom: Often bullies others - Present [Parent],"{""0"": ""Absent"", ""1"": ""Present"", ""555"": ""Not administered"", ""888"": ""Not asked due to branching logic""}","555,888",True
mh_p_ksads__cond,parent,cond,mh_p_ksads__cond__evntstrsr__pres_sx,item,,,Symptom: Life event or stressor conduct - Present [Parent],"{""0"": ""Absent"", ""1"": ""Present"", ""555"": ""Not administered"", ""888"": ""Not asked due to branching logic""}","555,888",True
mh_p_ksads__cond,parent,cond,mh_p_ksads__cond__fight__past_sx,item,,,Symptom: Often initiates physical fights - Past [Parent],"{""0"": ""Absent"", ""1"": ""Present"", ""555"": ""Not administered"", ""888"": ""Not asked due to branching logic""}","555,888",True
mh_p_ksads__cond,parent,cond,mh_p_ksads__cond__fight__pres_sx,item,,,Symptom: Often initiates physical fights - Present [Parent],"{""0"": ""Absent"", ""1"": ""Present"", ""555"": ""Not administered"", ""888"": ""Not asked due to branching logic""}","555,888",True
mh_p_ksads__cond,parent,cond,mh_p_ksads__cond__fire__past_sx,item,,,Symptom: Fire setting - Past [Parent],"{""0"": ""Absent"", ""1"": ""Present"", ""555"": ""Not administered"", ""888"": ""Not asked due to branching logic""}","555,888",True
mh_p_ksads__cond,parent,cond,mh_p_ksads__cond__fire__pres_sx,item,,,Symptom: Fire setting - Present [Parent],"{""0"": ""Absent"", ""1"": ""Present"", ""555"": ""Not administered"", ""888"": ""Not asked due to branching logic""}","555,888",True
mh_p_ksads__cond,parent,cond,mh_p_ksads__cond__forcesex__past_sx,item,,,Symptom: Forced someone into sexual activity - Past [Parent],"{""0"": ""Absent"", ""1"": ""Present"", ""555"": ""Not administered"", ""888"": ""Not asked due to branching logic""}","555,888",True
mh_p_ksads__cond,parent,cond,mh_p_ksads__cond__forcesex__pres_sx,item,,,Symptom: Forced someone into sexual activity - Present [Parent],"{""0"": ""Absent"", ""1"": ""Present"", ""555"": ""Not administered"", ""888"": ""Not asked due to branching logic""}","555,888",True
mh_p_ksads__cond,parent,cond,mh_p_ksads__cond__lies__past_sx,item,,,Symptom: Often lies - Past [Parent],"{""0"": ""Absent"", ""1"": ""Present"", ""555"": ""Not administered"", ""888"": ""Not asked due to branching logic""}","555,888",True
mh_p_ksads__cond,parent,cond,mh_p_ksads__cond__lies__pres_sx,item,,,Symptom: Often lies - Present [Parent],"{""0"": ""Absent"", ""1"": ""Present"", ""555"": ""Not administered"", ""888"": ""Not asked due to branching logic""}","555,888",True
mh_p_ksads__cond,parent,cond,mh_p_ksads__cond__onset__adoles__past_dx,diagnosis,past,onset__adoles,"Diagnosis: Conduct disorder, adolescent onset (F91.2) - Past [Parent]","{""0"": ""Absent"", ""1"": ""Present"", ""555"": ""Not administered"", ""888"": ""Not asked due to branching logic""}","555,888",True
mh_p_ksads__cond,parent,cond,mh_p_ksads__cond__onset__adoles__pres_dx,diagnosis,present,onset__adoles,"Diagnosis: Conduct disorder, adolescent onset (F91.2) - Present [Parent]","{""0"": ""Absent"", ""1"": ""Present"", ""555"": ""Not administered"", ""888"": ""Not asked due to branching logic""}","555,888",True
mh_p_ksads__cond,parent,cond,mh_p_ksads__cond__onset__chld__past_dx,diagnosis,past,onset__chld,"Diagnosis: Conduct disorder, childhood onset (F91.1) - Past [Parent]","{""0"": ""Absent"", ""1"": ""Present"", ""555"": ""Not administered"", ""888"": ""Not asked due to branching logic""}","555,888",True
mh_p_ksads__cond,parent,cond,mh_p_ksads__cond__onset__chld__pres_dx,diagnosis,present,onset__chld,"Diagnosis: Conduct disorder, childhood onset (F91.1) - Present [Parent]","{""0"": ""Absent"", ""1"": ""Present"", ""555"": ""Not administered"", ""888"": ""Not asked due to branching logic""}","555,888",True
mh_p_ksads__cond,parent,cond,mh_p_ksads__cond__outlate__past_sx,item,,,Symptom: Stays out late at night despite parental prohibition - Past [Parent],"{""0"": ""Absent"", ""1"": ""Present"", ""555"": ""Not administered"", ""888"": ""Not asked due to branching logic""}","555,888",True
mh_p_ksads__cond,parent,cond,mh_p_ksads__cond__outlate__pres_sx,item,,,Symptom: Stays out late at night despite parental prohibition - Present [Parent],"{""0"": ""Absent"", ""1"": ""Present"", ""555"": ""Not administered"", ""888"": ""Not asked due to branching logic""}","555,888",True
mh_p_ksads__cond,parent,cond,mh_p_ksads__cond__past__sx_mean,summary,,,KSADS - Conduct Disorder [Parent] (Symptom - Past): Mean [Validation: No more than 2 missing or declined],{},,True
mh_p_ksads__cond,parent,cond,mh_p_ksads__cond__physcruel__anml__past_sx,item,,,Symptom: Has been physically cruel to animals - Past [Parent],"{""0"": ""Absent"", ""1"": ""Present"", ""555"": ""Not administered"", ""888"": ""Not asked due to branching logic""}","555,888",True
mh_p_ksads__cond,parent,cond,mh_p_ksads__cond__physcruel__anml__pres_sx,item,,,Symptom: Has been physically cruel to animals - Present [Parent],"{""0"": ""Absent"", ""1"": ""Present"", ""555"": ""Not administered"", ""888"": ""Not asked due to branching logic""}","555,888",True
mh_p_ksads__cond,parent,cond,mh_p_ksads__cond__physcruel__ppl__past_sx,item,,,Symptom: Has been physically cruel to people - Past [Parent],"{""0"": ""Absent"", ""1"": ""Present"", ""555"": ""Not administered"", ""888"": ""Not asked due to branching logic""}","555,888",True
mh_p_ksads__cond,parent,cond,mh_p_ksads__cond__physcruel__ppl__pres_sx,item,,,Symptom: Has been physically cruel to people - Present [Parent],"{""0"": ""Absent"", ""1"": ""Present"", ""555"": ""Not administered"", ""888"": ""Not asked due to branching logic""}","555,888",True
mh_p_ksads__cond,parent,cond,mh_p_ksads__cond__pres__sx_mean,summary,,,KSADS - Conduct Disorder [Parent] (Symptom - Present): Mean [Validation: No more than 2 missing or declined],{},,True
mh_p_ksads__cond,parent,cond,mh_p_ksads__cond__rob__past_sx,item,,,Symptom: Stealing while confronting victim - Past [Parent],"{""0"": ""Absent"", ""1"": ""Present"", ""555"": ""Not administered"", ""888"": ""Not asked due to branching logic""}","555,888",True
mh_p_ksads__cond,parent,cond,mh_p_ksads__cond__rob__pres_sx,item,,,Symptom: Stealing while confronting victim - Present [Parent],"{""0"": ""Absent"", ""1"": ""Present"", ""555"": ""Not administered"", ""888"": ""Not asked due to branching logic""}","555,888",True
mh_p_ksads__cond,parent,cond,mh_p_ksads__cond__runaway__past_sx,item,,,Symptom: Ran away overnight - Past [Parent],"{""0"": ""Absent"", ""1"": ""Present"", ""555"": ""Not administered"", ""888"": ""Not asked due to branching logic""}","555,888",True
mh_p_ksads__cond,parent,cond,mh_p_ksads__cond__runaway__pres_sx,item,,,Symptom: Ran away overnight - Present [Parent],"{""0"": ""Absent"", ""1"": ""Present"", ""555"": ""Not administered"", ""888"": ""Not asked due to branching logic""}","555,888",True
mh_p_ksads__cond,parent,cond,mh_p_ksads__cond__steal__past_sx,item,,,Symptom: Stealing - Past [Parent],"{""0"": ""Absent"", ""1"": ""Present"", ""555"": ""Not administered"", ""888"": ""Not asked due to branching logic""}","555,888",True
mh_p_ksads__cond,parent,cond,mh_p_ksads__cond__steal__pres_sx,item,,,Symptom: Stealing - Present [Parent],"{""0"": ""Absent"", ""1"": ""Present"", ""555"": ""Not administered"", ""888"": ""Not asked due to branching logic""}","555,888",True
mh_p_ksads__cond,parent,cond,mh_p_ksads__cond__truant__past_sx,item,,,Symptom: Truancy - Past [Parent],"{""0"": ""Absent"", ""1"": ""Present"", ""555"": ""Not administered"", ""888"": ""Not asked due to branching logic""}","555,888",True
mh_p_ksads__cond,parent,cond,mh_p_ksads__cond__truant__pres_sx,item,,,Symptom: Truancy - Present [Parent],"{""0"": ""Absent"", ""1"": ""Present"", ""555"": ""Not administered"", ""888"": ""Not asked due to branching logic""}","555,888",True
mh_p_ksads__cond,parent,cond,mh_p_ksads__cond__vandal__past_sx,item,,,Symptom: Vandalism - Past [Parent],"{""0"": ""Absent"", ""1"": ""Present"", ""555"": ""Not administered"", ""888"": ""Not asked due to branching logic""}","555,888",True
mh_p_ksads__cond,parent,cond,mh_p_ksads__cond__vandal__pres_sx,item,,,Symptom: Vandalism - Present [Parent],"{""0"": ""Absent"", ""1"": ""Present"", ""555"": ""Not administered"", ""888"": ""Not asked due to branching logic""}","555,888",True
mh_p_ksads__cond,parent,cond,mh_p_ksads__cond__weapon__past_sx,item,,,Symptom: Use of a weapon that can cause serious harm - Past [Parent],"{""0"": ""Absent"", ""1"": ""Present"", ""555"": ""Not administered"", ""888"": ""Not asked due to branching logic""}","555,888",True
mh_p_ksads__cond,parent,cond,mh_p_ksads__cond__weapon__pres_sx,item,,,Symptom: Use of a weapon that can cause serious harm - Present [Parent],"{""0"": ""Absent"", ""1"": ""Present"", ""555"": ""Not administered"", ""888"": ""Not asked due to branching logic""}","555,888",True
mh_p_ksads__dep,parent,dep,mh_p_ksads__dep_age,meta,,,"KSADS - Depressive Disorders [Parent]: Youth's age at data collection (Note: if table-specific date/time is missing, the age at visit start is used)",{},,False
mh_p_ksads__dep,parent,dep,mh_p_ksads__dep_dtt,meta,,,KSADS - Depressive Disorders [Parent]: Date/time of collection start,{},,False
mh_p_ksads__dep,parent,dep,mh_p_ksads__dep__past_001,item,,,"In the past when your child was feeling how you previously described, was he or she often sleeping two or more hours a day more than usual, either napping during the day or sleeping more hours at night?","{""0"": ""No"", ""1"": ""Yes""}",,False
mh_p_ksads__dep,parent,dep,mh_p_ksads__dep__past_002,item,,,"In the past when your child was feeling how you previously described, did he or she often feel tired, like he or she just didn't have enough energy to do the things your child normally does?","{""0"": ""No"", ""1"": ""Yes""}",,False
mh_p_ksads__dep,parent,dep,mh_p_ksads__dep__past_003,item,,,"In the past when your child was feeling how you previously described, did he or she have a lot of trouble concentrating?","{""0"": ""No"", ""1"": ""Yes""}",,False
mh_p_ksads__dep,parent,dep,mh_p_ksads__dep__past_003__01,item,,,Did the problems with concentration begin when your child's mood changed?,"{""0"": ""No"", ""1"": ""Yes""}",,False
mh_p_ksads__dep,parent,dep,mh_p_ksads__dep__past_003__02,item,,,Did the problems with concentration get worse when your child's mood changed?,"{""0"": ""No"", ""1"": ""Yes""}",,False
mh_p_ksads__dep,parent,dep,mh_p_ksads__dep__past_004,item,,,"In the past when your child was feeling how you previously described, did he or she have a lot of trouble making up his or her mind about every day decisions like what to wear, eat or do?","{""0"": ""No"", ""1"": ""Yes""}",,False
mh_p_ksads__dep,parent,dep,mh_p_ksads__dep__past_005,item,,,"In the past when your child was feeling how you previously described, did he or she often find themselves less hungry than usual?","{""0"": ""No"", ""1"": ""Yes""}",,False
mh_p_ksads__dep,parent,dep,mh_p_ksads__dep__past_006,item,,,"In the past when your child was feeling how you previously described, did he or she lose some weight?","{""0"": ""No"", ""1"": ""Yes""}",,False
mh_p_ksads__dep,parent,dep,mh_p_ksads__dep__past_007,item,,,"When your child was feeling how you previously described in the past, did he or she often eat more than usual?","{""0"": ""No"", ""1"": ""Yes""}",,False
mh_p_ksads__dep,parent,dep,mh_p_ksads__dep__past_008,item,,,"In the past when your child was feeling how you previously described, did he or she gain some weight?","{""0"": ""No"", ""1"": ""Yes""}",,False
mh_p_ksads__dep,parent,dep,mh_p_ksads__dep__past_009,item,,,Did the trouble sitting still start when your child's mood changed?,"{""0"": ""No"", ""1"": ""Yes""}",,False
mh_p_ksads__dep,parent,dep,mh_p_ksads__dep__past_009__01,item,,,Did this trouble sitting still start when your child became sad?,"{""0"": ""No"", ""1"": ""Yes""}",,False
mh_p_ksads__dep,parent,dep,mh_p_ksads__dep__past_009__02,item,,,I know your child has had trouble staying still for a while. Did this become worse when your child became sad?,"{""0"": ""No"", ""1"": ""Yes""}",,False
mh_p_ksads__dep,parent,dep,mh_p_ksads__dep__past_010,item,,,"In the past when your child was feeling how you previously described, did your child often feel slowed down, like he or she was walking or talking in slow motion?","{""0"": ""No"", ""1"": ""Yes""}",,False
mh_p_ksads__dep,parent,dep,mh_p_ksads__dep__past_011,item,,,"In the past when your child was feeling how you previously described, did he or she feel guilty a lot?","{""0"": ""No"", ""1"": ""Yes""}",,False
mh_p_ksads__dep,parent,dep,mh_p_ksads__dep__past_012,item,,,"In the past when your child was feeling how you previously described, did he or she feel really bad about themselves?","{""0"": ""No"", ""1"": ""Yes""}",,False
mh_p_ksads__dep,parent,dep,mh_p_ksads__dep__past_013,item,,,In the past when your child was feeling how you previously described did he or she often feel hopeless a lot?,"{""0"": ""No"", ""1"": ""Yes""}",,False
mh_p_ksads__dep,parent,dep,mh_p_ksads__dep__past_014,item,,,"In the past when your child was feeling how you previously described, did you have trouble sleeping or falling asleep at night?","{""0"": ""No"", ""1"": ""Yes""}",,False
mh_p_ksads__dep,parent,dep,mh_p_ksads__dep__past_015__mo,item,,,Depression symptoms: When was the last time your child experienced any of the following symptoms - Month,{},,False
mh_p_ksads__dep,parent,dep,mh_p_ksads__dep__past_015__yr,item,,,Depression symptoms: When was the last time your child experienced any of the following symptoms - Year,{},,False
mh_p_ksads__dep,parent,dep,mh_p_ksads__dep__past_016___1,item,,,Depression symptoms: Did the things we have just been talking about ever cause problems for your child in any of the following areas [Multi-select]: With friends,"{""0"": ""No"", ""1"": ""Yes""}",,False
mh_p_ksads__dep,parent,dep,mh_p_ksads__dep__past_016___2,item,,,Depression symptoms: Did the things we have just been talking about ever cause problems for your child in any of the following areas [Multi-select]: With family,"{""0"": ""No"", ""1"": ""Yes""}",,False
mh_p_ksads__dep,parent,dep,mh_p_ksads__dep__past_016___3,item,,,Depression symptoms: Did the things we have just been talking about ever cause problems for your child in any of the following areas [Multi-select]: At school,"{""0"": ""No"", ""1"": ""Yes""}",,False
mh_p_ksads__dep,parent,dep,mh_p_ksads__dep__past_016___4,item,,,Depression symptoms: Did the things we have just been talking about ever cause problems for your child in any of the following areas [Multi-select]: At work,"{""0"": ""No"", ""1"": ""Yes""}",,False
mh_p_ksads__dep,parent,dep,mh_p_ksads__dep__past_016___5,item,,,Depression symptoms: Did the things we have just been talking about ever cause problems for your child in any of the following areas [Multi-select]: In after school activities,"{""0"": ""No"", ""1"": ""Yes""}",,False
mh_p_ksads__dep,parent,dep,mh_p_ksads__dep__past_016___6,item,,,Depression symptoms: Did the things we have just been talking about ever cause problems for your child in any of the following areas [Multi-select]: In other places or times,"{""0"": ""No"", ""1"": ""Yes""}",,False
mh_p_ksads__dep,parent,dep,mh_p_ksads__dep__past_017,item,,,Your child reported the following problems. Have these or were these present for a year or longer: Poor appetite or overeating,"{""0"": ""No"", ""1"": ""Yes""}",,False
mh_p_ksads__dep,parent,dep,mh_p_ksads__dep__past_017a__v01,item,,,Your child reported the following problems. Have these or were these present for a year or longer: Decreased appetite,"{""0"": ""No"", ""1"": ""Yes""}",,False
mh_p_ksads__dep,parent,dep,mh_p_ksads__dep__past_017b__v01,item,,,Your child reported the following problems. Have these or were these present for a year or longer: Increased appetite,"{""0"": ""No"", ""1"": ""Yes""}",,False
mh_p_ksads__dep,parent,dep,mh_p_ksads__dep__past_018,item,,,Your child reported the following problems. Have these or were these present for a year or longer: Lost or gained weight,"{""0"": ""No"", ""1"": ""Yes""}",,False
mh_p_ksads__dep,parent,dep,mh_p_ksads__dep__past_018a__v01,item,,,Your child reported the following problems. Have these or were these present for a year or longer: Loss of weight,"{""0"": ""No"", ""1"": ""Yes""}",,False
mh_p_ksads__dep,parent,dep,mh_p_ksads__dep__past_018b__v01,item,,,Your child reported the following problems. Have these or were these present for a year or longer: Weight gain,"{""0"": ""No"", ""1"": ""Yes""}",,False
mh_p_ksads__dep,parent,dep,mh_p_ksads__dep__past_019,item,,,Your child reported the following problems. Have these or were these present for a year or longer: Troubles falling asleep or sleeping too much,"{""0"": ""No"", ""1"": ""Yes""}",,False
mh_p_ksads__dep,parent,dep,mh_p_ksads__dep__past_019a__v01,item,,,Your child reported the following problems. Have these or were these present for a year or longer: Troubles sleeping,"{""0"": ""No"", ""1"": ""Yes""}",,False
mh_p_ksads__dep,parent,dep,mh_p_ksads__dep__past_019b__v01,item,,,Your child reported the following problems. Have these or were these present for a year or longer: Sleeping too much,"{""0"": ""No"", ""1"": ""Yes""}",,False
mh_p_ksads__dep,parent,dep,mh_p_ksads__dep__past_020,item,,,Your child reported the following problems. Have these or were these present for a year or longer: Feeling tired or fatigued,"{""0"": ""No"", ""1"": ""Yes""}",,False
mh_p_ksads__dep,parent,dep,mh_p_ksads__dep__past_020__v01,item,,,Your child reported the following problems. Have these or were these present for a year or longer: Feeling tired,"{""0"": ""No"", ""1"": ""Yes""}",,False
mh_p_ksads__dep,parent,dep,mh_p_ksads__dep__past_021,item,,,Your child reported the following problems. Have these or were these present for a year or longer: Feeling bad about yourself,"{""0"": ""No"", ""1"": ""Yes""}",,False
